1. CROSS, SNOVA, HAWK: 35914 bytes
2. CROSS, SNOVA, FALCON: 35110 bytes
3. CROSS, SNOVA, DILITHIUM: 38079 bytes
4. CROSS, MAYO, HAWK: 38404 bytes
5. CROSS, MAYO, DILITHIUM: 40574 bytes
6. SNOVA, MQOM, HAWK: 12526 bytes
7. SNOVA, MQOM, FALCON: 11722 bytes
8. SNOVA, MQOM, DILITHIUM: 14692 bytes
9. CROSS, MAYO, FALCON: 37600 bytes
10. CROSS, MQOM, HAWK: 37860 bytes
11. MAYO, MQOM, HAWK: 15017 bytes
12. MAYO, MQOM, FALCON: 14208 bytes
13. MAYO, MQOM, DILITHIUM: 17186 bytes
14. CROSS, SNOVA, MQOM: 35378 bytes
15. CROSS, MQOM, FALCON: 37052 bytes
16. CROSS, MQOM, DILITHIUM: 40025 bytes
17. CROSS, MAYO, MQOM: 37868 bytes
18. SNOVA, HAWK, FAEST: 23418 bytes
19. SNOVA, FALCON, FAEST: 22614 bytes
20. SNOVA, DILITHIUM, FAEST: 25587 bytes
21. MAYO, FALCON, FAEST: 25104 bytes
22. MAYO, DILITHIUM, FAEST: 28078 bytes
23. CROSS, QRUOV, HAWK: 80894 bytes
24. CROSS, QRUOV, FALCON: 80086 bytes
25. CROSS, QRUOV, DILITHIUM: 83059 bytes
26. MAYO, HAWK, FAEST: 25912 bytes
27. CROSS, HAWK, FAEST: 48752 bytes
28. CROSS, FALCON, FAEST: 47943 bytes
29. MQOM, HAWK, FAEST: 25364 bytes
30. MQOM, DILITHIUM, FAEST: 27533 bytes
31. CROSS, SNOVA, FAEST: 46269 bytes
32. QRUOV, MQOM, HAWK: 57506 bytes
33. QRUOV, MQOM, FALCON: 56702 bytes
34. QRUOV, MQOM, DILITHIUM: 59672 bytes
35. CROSS, MAYO, FAEST: 48760 bytes
36. CROSS, DILITHIUM, FAEST: 50921 bytes
37. MAYO, MQOM, FAEST: 25372 bytes
38. SNOVA, MQOM, FAEST: 22882 bytes
39. MQOM, FALCON, FAEST: 24555 bytes
40. SNOVA, PERK, HAWK: 26432 bytes
41. SNOVA, PERK, DILITHIUM: 28598 bytes
42. CROSS, QRUOV, MQOM: 80354 bytes
43. SNOVA, PERK, FALCON: 25624 bytes
44. MAYO, PERK, HAWK: 28923 bytes
45. MAYO, PERK, FALCON: 28118 bytes
46. MAYO, PERK, DILITHIUM: 31088 bytes
47. CROSS, PERK, HAWK: 51766 bytes
48. CROSS, PERK, FALCON: 50962 bytes
49. CROSS, PERK, DILITHIUM: 53931 bytes
50. CROSS, SNOVA, PERK: 49280 bytes
51. CROSS, MQOM, FAEST: 48211 bytes
