1. CROSS, SNOVA, FALCON: 5 ms
2. CROSS, SNOVA, DILITHIUM: 5 ms
3. CROSS, MAYO, HAWK: 6 ms
4. CROSS, MAYO, FALCON: 6 ms
5. CROSS, MAYO, DILITHIUM: 6 ms
6. CROSS, SNOVA, HAWK: 6 ms
7. MAYO, MQOM, DILITHIUM: 8 ms
8. SNOVA, MQOM, HAWK: 8 ms
9. SNOVA, MQOM, FALCON: 8 ms
10. SNOVA, MQOM, DILITHIUM: 8 ms
11. SNOVA, FALCON, FAEST: 8 ms
12. SNOVA, DILITHIUM, FAEST: 8 ms
13. MAYO, MQOM, HAWK: 9 ms
14. MAYO, MQOM, FALCON: 9 ms
15. MAYO, HAWK, FAEST: 9 ms
16. MAYO, FALCON, FAEST: 9 ms
17. MAYO, DILITHIUM, FAEST: 9 ms
18. SNOVA, HAWK, FAEST: 9 ms
19. CROSS, SNOVA, MQOM: 10 ms
20. CROSS, MQOM, HAWK: 10 ms
21. CROSS, MQOM, FALCON: 10 ms
22. CROSS, MQOM, DILITHIUM: 10 ms
23. CROSS, HAWK, FAEST: 10 ms
24. CROSS, FALCON, FAEST: 10 ms
25. CROSS, DILITHIUM, FAEST: 10 ms
26. CROSS, MAYO, MQOM: 11 ms
27. CROSS, SNOVA, FAEST: 11 ms
28. CROSS, MAYO, FAEST: 12 ms
29. CROSS, QRUOV, DILITHIUM: 13 ms
30. MAYO, MQOM, FAEST: 13 ms
31. SNOVA, MQOM, FAEST: 13 ms
32. MQOM, HAWK, FAEST: 13 ms
33. MQOM, FALCON, FAEST: 13 ms
34. MQOM, DILITHIUM, FAEST: 13 ms
35. CROSS, QRUOV, HAWK: 14 ms
36. CROSS, QRUOV, FALCON: 14 ms
37. CROSS, MQOM, FAEST: 14 ms
38. QRUOV, MQOM, HAWK: 15 ms
39. QRUOV, MQOM, FALCON: 15 ms
40. QRUOV, MQOM, DILITHIUM: 15 ms
41. QRUOV, HAWK, FAEST: 15 ms
42. QRUOV, FALCON, FAEST: 15 ms
43. QRUOV, DILITHIUM, FAEST: 15 ms
