1. CROSS, SNOVA, HAWK: 6 ms
2. CROSS, SNOVA, FALCON: 6 ms
3. CROSS, SNOVA, DILITHIUM: 6 ms
4. CROSS, MAYO, HAWK: 8 ms
5. CROSS, MAYO, DILITHIUM: 8 ms
6. SNOVA, MQOM, HAWK: 8 ms
7. SNOVA, MQOM, FALCON: 8 ms
8. SNOVA, MQOM, DILITHIUM: 8 ms
9. CROSS, MAYO, FALCON: 9 ms
10. CROSS, MQOM, HAWK: 10 ms
11. MAYO, MQOM, HAWK: 10 ms
12. MAYO, MQOM, FALCON: 10 ms
13. MAYO, MQOM, DILITHIUM: 10 ms
14. CROSS, SNOVA, MQOM: 11 ms
15. CROSS, MQOM, FALCON: 11 ms
16. CROSS, MQOM, DILITHIUM: 11 ms
17. CROSS, MAYO, MQOM: 13 ms
18. SNOVA, HAWK, FAEST: 22 ms
19. SNOVA, FALCON, FAEST: 23 ms
20. SNOVA, DILITHIUM, FAEST: 23 ms
21. MAYO, FALCON, FAEST: 24 ms
22. MAYO, DILITHIUM, FAEST: 24 ms
23. CROSS, QRUOV, HAWK: 25 ms
24. CROSS, QRUOV, FALCON: 25 ms
25. CROSS, QRUOV, DILITHIUM: 25 ms
26. MAYO, HAWK, FAEST: 25 ms
27. CROSS, HAWK, FAEST: 26 ms
28. CROSS, FALCON, FAEST: 26 ms
29. MQOM, HAWK, FAEST: 26 ms
30. MQOM, DILITHIUM, FAEST: 26 ms
31. CROSS, SNOVA, FAEST: 27 ms
32. QRUOV, MQOM, HAWK: 27 ms
33. QRUOV, MQOM, FALCON: 27 ms
34. QRUOV, MQOM, DILITHIUM: 27 ms
35. CROSS, MAYO, FAEST: 28 ms
36. CROSS, DILITHIUM, FAEST: 28 ms
37. MAYO, MQOM, FAEST: 28 ms
38. SNOVA, MQOM, FAEST: 28 ms
39. MQOM, FALCON, FAEST: 28 ms
40. SNOVA, PERK, HAWK: 29 ms
41. SNOVA, PERK, DILITHIUM: 29 ms
42. CROSS, QRUOV, MQOM: 30 ms
43. SNOVA, PERK, FALCON: 30 ms
44. MAYO, PERK, HAWK: 31 ms
45. MAYO, PERK, FALCON: 31 ms
46. MAYO, PERK, DILITHIUM: 31 ms
47. CROSS, PERK, HAWK: 33 ms
48. CROSS, PERK, FALCON: 33 ms
49. CROSS, PERK, DILITHIUM: 33 ms
