1. CROSS, MAYO, DILITHIUM: 5 ms
2. CROSS, SNOVA, HAWK: 5 ms
3. CROSS, SNOVA, FALCON: 5 ms
4. CROSS, SNOVA, DILITHIUM: 5 ms
5. CROSS, MAYO, HAWK: 6 ms
6. CROSS, MAYO, FALCON: 6 ms
7. MAYO, MQOM, HAWK: 8 ms
8. MAYO, MQOM, DILITHIUM: 8 ms
9. SNOVA, MQOM, HAWK: 8 ms
10. SNOVA, MQOM, FALCON: 8 ms
11. SNOVA, MQOM, DILITHIUM: 8 ms
12. SNOVA, DILITHIUM, FAEST: 8 ms
13. CROSS, MQOM, HAWK: 9 ms
14. CROSS, MQOM, DILITHIUM: 9 ms
15. MAYO, MQOM, FALCON: 9 ms
16. MAYO, HAWK, FAEST: 9 ms
17. MAYO, FALCON, FAEST: 9 ms
18. MAYO, DILITHIUM, FAEST: 9 ms
19. SNOVA, HAWK, FAEST: 9 ms
20. SNOVA, FALCON, FAEST: 9 ms
21. CROSS, MAYO, MQOM: 10 ms
22. CROSS, SNOVA, MQOM: 10 ms
23. CROSS, MAYO, FAEST: 10 ms
24. CROSS, SNOVA, FAEST: 10 ms
25. CROSS, MQOM, FALCON: 10 ms
26. CROSS, HAWK, FAEST: 10 ms
27. CROSS, FALCON, FAEST: 10 ms
28. CROSS, DILITHIUM, FAEST: 10 ms
29. CROSS, QRUOV, HAWK: 12 ms
30. SNOVA, MQOM, FAEST: 12 ms
31. MQOM, HAWK, FAEST: 12 ms
32. CROSS, QRUOV, FALCON: 13 ms
33. CROSS, QRUOV, DILITHIUM: 13 ms
34. MAYO, MQOM, FAEST: 13 ms
35. MQOM, FALCON, FAEST: 13 ms
36. MQOM, DILITHIUM, FAEST: 13 ms
37. CROSS, MQOM, FAEST: 14 ms
38. QRUOV, MQOM, HAWK: 15 ms
39. QRUOV, MQOM, FALCON: 15 ms
40. QRUOV, MQOM, DILITHIUM: 15 ms
41. QRUOV, HAWK, FAEST: 15 ms
42. QRUOV, FALCON, FAEST: 15 ms
43. QRUOV, DILITHIUM, FAEST: 15 ms
44. MAYO, PERK, HAWK: 16 ms
45. MAYO, PERK, DILITHIUM: 16 ms
46. SNOVA, PERK, HAWK: 16 ms
47. SNOVA, PERK, FALCON: 16 ms
48. SNOVA, PERK, DILITHIUM: 16 ms
49. CROSS, QRUOV, MQOM: 17 ms
50. CROSS, QRUOV, FAEST: 17 ms
51. CROSS, PERK, HAWK: 17 ms
52. CROSS, PERK, FALCON: 17 ms
53. CROSS, PERK, DILITHIUM: 17 ms
54. MAYO, PERK, FALCON: 17 ms
55. CROSS, MAYO, PERK: 18 ms
56. CROSS, SNOVA, PERK: 18 ms
57. QRUOV, MQOM, FAEST: 19 ms
58. MAYO, PERK, FAEST: 21 ms
59. SNOVA, PERK, FAEST: 21 ms
60. PERK, HAWK, FAEST: 21 ms
61. PERK, FALCON, FAEST: 21 ms
62. PERK, DILITHIUM, FAEST: 21 ms
63. CROSS, PERK, FAEST: 22 ms
64. QRUOV, PERK, HAWK: 22 ms
65. QRUOV, PERK, FALCON: 22 ms
66. QRUOV, PERK, DILITHIUM: 22 ms
67. CROSS, QRUOV, PERK: 24 ms
68. QRUOV, PERK, FAEST: 27 ms
69. MAYO, RYDE, FALCON: 30 ms
70. MAYO, RYDE, DILITHIUM: 30 ms
71. SNOVA, RYDE, HAWK: 30 ms
72. SNOVA, RYDE, FALCON: 30 ms
73. SNOVA, RYDE, DILITHIUM: 30 ms
74. CROSS, SNOVA, RYDE: 31 ms
75. CROSS, RYDE, HAWK: 31 ms
76. MAYO, RYDE, HAWK: 31 ms
77. CROSS, RYDE, DILITHIUM: 32 ms
78. CROSS, MAYO, RYDE: 33 ms
79. CROSS, RYDE, FALCON: 33 ms
80. MAYO, RYDE, FAEST: 35 ms
81. RYDE, HAWK, FAEST: 35 ms
82. RYDE, FALCON, FAEST: 35 ms
83. RYDE, DILITHIUM, FAEST: 35 ms
84. CROSS, RYDE, FAEST: 36 ms
85. QRUOV, RYDE, DILITHIUM: 36 ms
86. SNOVA, RYDE, FAEST: 36 ms
87. CROSS, QRUOV, RYDE: 37 ms
88. QRUOV, RYDE, HAWK: 37 ms
89. QRUOV, RYDE, FALCON: 37 ms
90. QRUOV, RYDE, FAEST: 40 ms
91. SNOVA, FALCON, SQISIGN: 62 ms
92. CROSS, MAYO, SQISIGN: 66 ms
93. MQOM, FAEST, SQISIGN: 67 ms
94. CROSS, FALCON, SQISIGN: 70 ms
95. MAYO, HAWK, SQISIGN: 70 ms
96. SNOVA, MQOM, SQISIGN: 72 ms
97. MAYO, DILITHIUM, SQISIGN: 73 ms
98. QRUOV, FALCON, SQISIGN: 76 ms
99. MQOM, DILITHIUM, SQISIGN: 76 ms
100. MAYO, FALCON, SQISIGN: 77 ms
101. FALCON, FAEST, SQISIGN: 77 ms
102. CROSS, DILITHIUM, SQISIGN: 78 ms
103. MQOM, FALCON, SQISIGN: 78 ms
104. MAYO, PERK, SQISIGN: 79 ms
105. MAYO, MQOM, SQISIGN: 79 ms
106. CROSS, MQOM, SQISIGN: 80 ms
107. CROSS, HAWK, SQISIGN: 80 ms
108. MQOM, HAWK, SQISIGN: 80 ms
109. SNOVA, FAEST, SQISIGN: 81 ms
110. QRUOV, DILITHIUM, SQISIGN: 82 ms
