1. CROSS, SNOVA, HAWK: 8 ms
2. CROSS, SNOVA, FALCON: 8 ms
3. CROSS, SNOVA, DILITHIUM: 8 ms
4. SNOVA, MQOM, HAWK: 8 ms
5. SNOVA, MQOM, FALCON: 8 ms
6. SNOVA, MQOM, DILITHIUM: 8 ms
7. MAYO, MQOM, HAWK: 11 ms
8. CROSS, SNOVA, MQOM: 12 ms
9. CROSS, MAYO, HAWK: 12 ms
10. CROSS, MAYO, FALCON: 12 ms
11. CROSS, MAYO, DILITHIUM: 12 ms
12. CROSS, MQOM, HAWK: 12 ms
13. CROSS, MQOM, FALCON: 12 ms
14. CROSS, MQOM, DILITHIUM: 12 ms
15. MAYO, MQOM, FALCON: 12 ms
16. MAYO, MQOM, DILITHIUM: 12 ms
17. CROSS, MAYO, MQOM: 16 ms
18. SNOVA, HAWK, FAEST: 30 ms
19. SNOVA, FALCON, FAEST: 30 ms
20. SNOVA, DILITHIUM, FAEST: 30 ms
21. MAYO, HAWK, FAEST: 33 ms
22. MAYO, FALCON, FAEST: 33 ms
23. MAYO, DILITHIUM, FAEST: 33 ms
24. MQOM, HAWK, FAEST: 33 ms
25. CROSS, SNOVA, FAEST: 34 ms
26. CROSS, HAWK, FAEST: 34 ms
27. CROSS, FALCON, FAEST: 34 ms
28. CROSS, DILITHIUM, FAEST: 34 ms
29. MQOM, DILITHIUM, FAEST: 34 ms
30. SNOVA, MQOM, FAEST: 35 ms
31. MQOM, FALCON, FAEST: 35 ms
32. CROSS, MAYO, FAEST: 38 ms
33. MAYO, MQOM, FAEST: 38 ms
34. CROSS, MQOM, FAEST: 39 ms
35. SNOVA, PERK, FALCON: 58 ms
36. SNOVA, PERK, HAWK: 59 ms
37. SNOVA, PERK, DILITHIUM: 59 ms
38. MAYO, PERK, HAWK: 62 ms
39. CROSS, PERK, HAWK: 63 ms
40. CROSS, PERK, FALCON: 63 ms
41. MAYO, PERK, FALCON: 63 ms
42. MAYO, PERK, DILITHIUM: 63 ms
43. CROSS, SNOVA, PERK: 64 ms
44. PERK, DILITHIUM, FAEST: 85 ms
45. SNOVA, SDITH, HAWK: 86 ms
46. SNOVA, SDITH, DILITHIUM: 86 ms
47. PERK, HAWK, FAEST: 86 ms
48. PERK, FALCON, FAEST: 86 ms
49. SNOVA, SDITH, FALCON: 87 ms
50. SNOVA, PERK, FAEST: 87 ms
51. MAYO, PERK, FAEST: 88 ms
52. MAYO, SDITH, HAWK: 90 ms
53. MAYO, SDITH, FALCON: 90 ms
54. MAYO, SDITH, DILITHIUM: 91 ms
55. SNOVA, SDITH, FAEST: 113 ms
56. SDITH, HAWK, FAEST: 114 ms
57. SDITH, FALCON, FAEST: 115 ms
58. SDITH, DILITHIUM, FAEST: 116 ms
59. MAYO, SDITH, FAEST: 119 ms
60. SNOVA, RYDE, DILITHIUM: 200 ms
61. SNOVA, RYDE, HAWK: 205 ms
62. MAYO, RYDE, DILITHIUM: 206 ms
63. MAYO, RYDE, HAWK: 211 ms
64. CROSS, RYDE, FALCON: 214 ms
65. SNOVA, RYDE, FALCON: 214 ms
66. CROSS, SNOVA, RYDE: 216 ms
67. CROSS, MAYO, RYDE: 219 ms
68. MAYO, RYDE, FALCON: 219 ms
69. CROSS, HAWK, SQISIGN: 221 ms
70. MAYO, RYDE, FAEST: 230 ms
71. CROSS, SNOVA, SQISIGN: 233 ms
72. CROSS, DILITHIUM, SQISIGN: 234 ms
73. SNOVA, FALCON, SQISIGN: 234 ms
74. CROSS, RYDE, DILITHIUM: 235 ms
75. CROSS, RYDE, HAWK: 238 ms
76. MQOM, FALCON, SQISIGN: 238 ms
77. RYDE, FALCON, FAEST: 241 ms
78. SNOVA, HAWK, SQISIGN: 242 ms
79. RYDE, DILITHIUM, FAEST: 242 ms
80. SNOVA, DILITHIUM, SQISIGN: 244 ms
81. QRUOV, HAWK, SQISIGN: 246 ms
82. CROSS, FALCON, SQISIGN: 247 ms
83. RYDE, HAWK, FAEST: 247 ms
84. PERK, DILITHIUM, SQISIGN: 252 ms
85. SNOVA, RYDE, FAEST: 260 ms
86. CROSS, PERK, SQISIGN: 261 ms
87. CROSS, MQOM, SQISIGN: 264 ms
