1. SNOVA, MQOM, HAWK: 74 sec
2. CROSS, SNOVA, DILITHIUM: 79 sec
3. SNOVA, MQOM, FALCON: 79 sec
4. SNOVA, MQOM, DILITHIUM: 84 sec
5. CROSS, SNOVA, HAWK: 85 sec
6. CROSS, SNOVA, FALCON: 85 sec
7. MAYO, MQOM, HAWK: 110 sec
8. MAYO, MQOM, FALCON: 112 sec
9. CROSS, MAYO, HAWK: 115 sec
10. MAYO, MQOM, DILITHIUM: 115 sec
11. CROSS, MAYO, FALCON: 116 sec
12. CROSS, MAYO, DILITHIUM: 121 sec
13. CROSS, MQOM, HAWK: 123 sec
14. CROSS, SNOVA, MQOM: 130 sec
15. CROSS, MQOM, FALCON: 131 sec
16. CROSS, MQOM, DILITHIUM: 131 sec
17. CROSS, MAYO, MQOM: 161 sec
18. SNOVA, DILITHIUM, FAEST: 297 sec
19. SNOVA, HAWK, FAEST: 301 sec
20. SNOVA, FALCON, FAEST: 308 sec
21. MAYO, HAWK, FAEST: 325 sec
22. SNOVA, MQOM, FAEST: 327 sec
23. CROSS, DILITHIUM, FAEST: 328 sec
24. MQOM, HAWK, FAEST: 332 sec
25. MAYO, FALCON, FAEST: 333 sec
26. MAYO, DILITHIUM, FAEST: 334 sec
27. MQOM, FALCON, FAEST: 337 sec
28. MQOM, DILITHIUM, FAEST: 339 sec
29. CROSS, SNOVA, FAEST: 344 sec
30. CROSS, HAWK, FAEST: 344 sec
31. CROSS, FALCON, FAEST: 345 sec
32. MAYO, MQOM, FAEST: 357 sec
33. CROSS, MAYO, FAEST: 363 sec
34. CROSS, MQOM, FAEST: 381 sec
35. SNOVA, PERK, FALCON: 574 sec
36. SNOVA, PERK, HAWK: 594 sec
37. SNOVA, PERK, DILITHIUM: 597 sec
38. MAYO, PERK, DILITHIUM: 607 sec
39. CROSS, PERK, FALCON: 618 sec
40. CROSS, PERK, HAWK: 626 sec
41. CROSS, SNOVA, PERK: 629 sec
42. MAYO, PERK, HAWK: 634 sec
43. MAYO, PERK, FALCON: 644 sec
44. PERK, HAWK, FAEST: 835 sec
45. SNOVA, SDITH, DILITHIUM: 852 sec
46. PERK, FALCON, FAEST: 852 sec
47. SNOVA, PERK, FAEST: 854 sec
48. SNOVA, SDITH, HAWK: 858 sec
49. SNOVA, SDITH, FALCON: 860 sec
50. PERK, DILITHIUM, FAEST: 884 sec
51. MAYO, SDITH, FALCON: 895 sec
52. MAYO, PERK, FAEST: 895 sec
53. MAYO, SDITH, HAWK: 951 sec
54. MAYO, SDITH, DILITHIUM: 956 sec
55. SDITH, DILITHIUM, FAEST: 1108 sec
56. SDITH, HAWK, FAEST: 1119 sec
57. SNOVA, SDITH, FAEST: 1120 sec
58. MAYO, SDITH, FAEST: 1144 sec
59. SDITH, FALCON, FAEST: 1155 sec
60. SNOVA, RYDE, DILITHIUM: 1845 sec
61. CROSS, RYDE, DILITHIUM: 1871 sec
62. SNOVA, RYDE, HAWK: 1915 sec
63. SNOVA, RYDE, FALCON: 1938 sec
64. CROSS, HAWK, SQISIGN: 1977 sec
65. CROSS, RYDE, FALCON: 2066 sec
66. CROSS, DILITHIUM, SQISIGN: 2080 sec
67. RYDE, DILITHIUM, FAEST: 2115 sec
68. MAYO, RYDE, HAWK: 2145 sec
69. SNOVA, FALCON, SQISIGN: 2186 sec
70. SNOVA, HAWK, SQISIGN: 2189 sec
71. SNOVA, DILITHIUM, SQISIGN: 2209 sec
72. MAYO, RYDE, FALCON: 2225 sec
73. MAYO, RYDE, FAEST: 2325 sec
74. CROSS, SNOVA, SQISIGN: 2339 sec
75. CROSS, SNOVA, RYDE: 2356 sec
76. QRUOV, HAWK, SQISIGN: 2446 sec
77. PERK, DILITHIUM, SQISIGN: 2451 sec
78. CROSS, FALCON, SQISIGN: 2525 sec
79. RYDE, HAWK, FAEST: 2526 sec
80. SNOVA, PERK, SQISIGN: 2562 sec
81. SNOVA, RYDE, FAEST: 2569 sec
82. HAWK, FAEST, SQISIGN: 2594 sec
83. QRUOV, FALCON, SQISIGN: 2631 sec
84. MAYO, FALCON, SQISIGN: 2633 sec
85. CROSS, MAYO, RYDE: 2638 sec
86. MQOM, DILITHIUM, SQISIGN: 2668 sec
87. MQOM, FALCON, SQISIGN: 2669 sec
88. MQOM, FAEST, SQISIGN: 2705 sec
89. CROSS, MQOM, SQISIGN: 2798 sec
90. MQOM, HAWK, SQISIGN: 2800 sec
91. CROSS, PERK, SQISIGN: 2873 sec
92. MAYO, FAEST, SQISIGN: 2879 sec
93. PERK, FALCON, SQISIGN: 2887 sec
94. CROSS, FAEST, SQISIGN: 2906 sec
95. RYDE, FALCON, FAEST: 2927 sec
96. MAYO, MQOM, SQISIGN: 2942 sec
97. DILITHIUM, FAEST, SQISIGN: 2992 sec
98. FALCON, FAEST, SQISIGN: 3039 sec
99. CROSS, MAYO, SQISIGN: 3051 sec
100. SDITH, FALCON, SQISIGN: 3066 sec
101. SDITH, DILITHIUM, SQISIGN: 3082 sec
102. MAYO, HAWK, SQISIGN: 3089 sec
103. SNOVA, MQOM, SQISIGN: 3107 sec
104. QRUOV, MQOM, SQISIGN: 3132 sec
105. SDITH, HAWK, SQISIGN: 3151 sec
106. PERK, FAEST, SQISIGN: 3221 sec
107. MAYO, RYDE, DILITHIUM: 3252 sec
108. CROSS, RYDE, HAWK: 3276 sec
109. SNOVA, SDITH, SQISIGN: 3297 sec
110. SNOVA, FAEST, SQISIGN: 3310 sec
111. MAYO, DILITHIUM, SQISIGN: 3351 sec
112. PERK, HAWK, SQISIGN: 3458 sec
113. SDITH, FAEST, SQISIGN: 3773 sec
114. RYDE, DILITHIUM, SQISIGN: 4231 sec
115. CROSS, RYDE, SQISIGN: 4587 sec
116. MAYO, SDITH, SQISIGN: 4635 sec
117. RYDE, FAEST, SQISIGN: 4670 sec
118. SNOVA, RYDE, SQISIGN: 4702 sec
119. MAYO, RYDE, SQISIGN: 4823 sec
120. MAYO, PERK, SQISIGN: 4843 sec
121. RYDE, FALCON, SQISIGN: 4932 sec
122. RYDE, HAWK, SQISIGN: 4935 sec
123. CROSS, MAYO, MIRATH: 14232 sec
124. SNOVA, MIRATH, HAWK: 14658 sec
125. MAYO, MIRATH, FAEST: 15207 sec
126. MAYO, MIRATH, DILITHIUM: 15337 sec
127. SNOVA, MIRATH, SQISIGN: 15932 sec
128. MAYO, MIRATH, FALCON: 15986 sec
129. MIRATH, DILITHIUM, FAEST: 15994 sec
130. MIRATH, FALCON, FAEST: 16650 sec
131. MIRATH, FAEST, SQISIGN: 16796 sec
132. SNOVA, DILITHIUM, SPHINCS: 17219 sec
133. SNOVA, MIRATH, FALCON: 17236 sec
134. MAYO, FALCON, SPHINCS: 17316 sec
135. MQOM, FALCON, SPHINCS: 17331 sec
136. SNOVA, MQOM, SPHINCS: 17367 sec
137. MQOM, HAWK, SPHINCS: 17389 sec
138. MQOM, DILITHIUM, SPHINCS: 17443 sec
139. MAYO, DILITHIUM, SPHINCS: 17448 sec
140. MAYO, MQOM, SPHINCS: 17489 sec
141. SNOVA, HAWK, SPHINCS: 17507 sec
142. MIRATH, HAWK, SQISIGN: 17522 sec
143. MAYO, HAWK, SPHINCS: 17573 sec
144. SNOVA, FALCON, SPHINCS: 17627 sec
145. SNOVA, MIRATH, FAEST: 17752 sec
146. SNOVA, PERK, SPHINCS: 17806 sec
147. PERK, FALCON, SPHINCS: 17832 sec
148. PERK, DILITHIUM, SPHINCS: 17913 sec
149. MAYO, PERK, SPHINCS: 17939 sec
150. PERK, HAWK, SPHINCS: 17955 sec
151. SNOVA, RYDE, SPHINCS: 19191 sec
152. RYDE, DILITHIUM, SPHINCS: 19258 sec
153. RYDE, HAWK, SPHINCS: 19334 sec
154. HAWK, SPHINCS, SQISIGN: 19430 sec
155. CROSS, MIRATH, DILITHIUM: 19512 sec
156. MAYO, RYDE, SPHINCS: 19517 sec
157. RYDE, FALCON, SPHINCS: 19662 sec
158. FALCON, SPHINCS, SQISIGN: 19711 sec
159. SNOVA, SPHINCS, SQISIGN: 19850 sec
160. CROSS, MIRATH, HAWK: 19879 sec
161. SDITH, SPHINCS, SQISIGN: 19884 sec
162. MQOM, SPHINCS, SQISIGN: 19933 sec
163. PERK, SPHINCS, SQISIGN: 20098 sec
164. MAYO, SPHINCS, SQISIGN: 20342 sec
